Year,SERIES,តំបន់យោង,ការរួមភេទ,អាយុ,កំរិតនគរូបនីយកម្ម,ប្រាក់ចំណូលឬទ្រព្យសម្បត្តិមានចំនួនច្រើន,UNIT_MEASURE,Value
2010,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,27.0
2014,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,18.0
2005,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ខែ,,ឃ្វីនទី ១ (ក្របំផុត),ក្នុង ១០០ កំណើតរស់,34.0
2010,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ខែ,,ឃ្វីនទី ១ (ក្របំផុត),ក្នុង ១០០ កំណើតរស់,39.0
2014,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ខែ,,ឃ្វីនទី ១ (ក្របំផុត),ក្នុង ១០០ កំណើតរស់,27.0
2005,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ខែ,,ឃ្វីនទី ២,ក្នុង ១០០ កំណើតរស់,45.0
2010,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ខែ,,ឃ្វីនទី ២,ក្នុង ១០០ កំណើតរស់,34.0
2014,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ខែ,,ឃ្វីនទី ២,ក្នុង ១០០ កំណើតរស់,23.0
2005,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ខែ,,ឃ្វីនទី ៣,ក្នុង ១០០ កំណើតរស់,38.0
2010,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ខែ,,ឃ្វីនទី ៣,ក្នុង ១០០ កំណើតរស់,35.0
2014,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ខែ,,ឃ្វីនទី ៣,ក្នុង ១០០ កំណើតរស់,24.0
2005,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ខែ,,ឃ្វីនទី ៤,ក្នុង ១០០ កំណើតរស់,38.0
2010,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ខែ,,ឃ្វីនទី ៤,ក្នុង ១០០ កំណើតរស់,26.0
2014,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ខែ,,ឃ្វីនទី ៤,ក្នុង ១០០ កំណើតរស់,18.0
2005,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ខែ,,ឃ្វីនទី ៥ (មានជាងគេបំផុត),ក្នុង ១០០ កំណើតរស់,22.0
2010,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ខែ,,ឃ្វីនទី ៥ (មានជាងគេបំផុត),ក្នុង ១០០ កំណើតរស់,16.0
2014,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ខែ,,ឃ្វីនទី ៥ (មានជាងគេបំផុត),ក្នុង ១០០ កំណើតរស់,12.0
2000,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ខែ,ទីប្រជុំជន,,ក្នុង ១០០ កំណើតរស់,27.0
2005,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ខែ,ទីប្រជុំជន,,ក្នុង ១០០ កំណើតរស់,29.0
2010,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ខែ,ទីប្រជុំជន,,ក្នុង ១០០ កំណើតរស់,11.0
2014,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ខែ,ទីប្រជុំជន,,ក្នុង ១០០ កំណើតរស់,10.0
2000,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ខែ,ជនបទ,,ក្នុង ១០០ កំណើតរស់,40.9
2005,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ខែ,ជនបទ,,ក្នុង ១០០ កំណើតរស់,37.0
2010,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ខែ,ជនបទ,,ក្នុង ១០០ កំណើតរស់,35.0
2014,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ខែ,ជនបទ,,ក្នុង ១០០ កំណើតរស់,23.0
2000,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ឆ្នាំ,,,ក្នុង ១០០ កំណើតរស់,37.3
2005,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ឆ្នាំ,,,ក្នុង ១០០ កំណើតរស់,28.0
2010,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ឆ្នាំ,,,ក្នុង ១០០ កំណើតរស់,27.0
2014,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ឆ្នាំ,,,ក្នុង ១០០ កំណើតរស់,18.0
2005,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ឆ្នាំ,,ឃ្វីនទី ១ (ក្របំផុត),ក្នុង ១០០ កំណើតរស់,34.0
2010,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ឆ្នាំ,,ឃ្វីនទី ១ (ក្របំផុត),ក្នុង ១០០ កំណើតរស់,39.0
2014,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ឆ្នាំ,,ឃ្វីនទី ១ (ក្របំផុត),ក្នុង ១០០ កំណើតរស់,27.0
2005,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ឆ្នាំ,,ឃ្វីនទី ២,ក្នុង ១០០ កំណើតរស់,45.0
2010,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ឆ្នាំ,,ឃ្វីនទី ២,ក្នុង ១០០ កំណើតរស់,34.0
2014,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ឆ្នាំ,,ឃ្វីនទី ២,ក្នុង ១០០ កំណើតរស់,23.0
2005,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ឆ្នាំ,,ឃ្វីនទី ៣,ក្នុង ១០០ កំណើតរស់,38.0
2010,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ឆ្នាំ,,ឃ្វីនទី ៣,ក្នុង ១០០ កំណើតរស់,35.0
2014,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ឆ្នាំ,,ឃ្វីនទី ៣,ក្នុង ១០០ កំណើតរស់,24.0
2005,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ឆ្នាំ,,ឃ្វីនទី ៤,ក្នុង ១០០ កំណើតរស់,38.0
2010,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ឆ្នាំ,,ឃ្វីនទី ៤,ក្នុង ១០០ កំណើតរស់,26.0
2014,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ឆ្នាំ,,ឃ្វីនទី ៤,ក្នុង ១០០ កំណើតរស់,18.0
2005,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ឆ្នាំ,,ឃ្វីនទី ៥ (មានជាងគេបំផុត),ក្នុង ១០០ កំណើតរស់,22.0
2010,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ឆ្នាំ,,ឃ្វីនទី ៥ (មានជាងគេបំផុត),ក្នុង ១០០ កំណើតរស់,16.0
2014,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ឆ្នាំ,,ឃ្វីនទី ៥ (មានជាងគេបំផុត),ក្នុង ១០០ កំណើតរស់,12.0
2000,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ឆ្នាំ,ទីប្រជុំជន,,ក្នុង ១០០ កំណើតរស់,27.0
2005,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ឆ្នាំ,ទីប្រជុំជន,,ក្នុង ១០០ កំណើតរស់,29.0
2010,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ឆ្នាំ,ទីប្រជុំជន,,ក្នុង ១០០ កំណើតរស់,11.0
2014,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ឆ្នាំ,ទីប្រជុំជន,,ក្នុង ១០០ កំណើតរស់,10.0
2000,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ឆ្នាំ,ជនបទ,,ក្នុង ១០០ កំណើតរស់,40.9
2005,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ឆ្នាំ,ជនបទ,,ក្នុង ១០០ កំណើតរស់,37.0
2010,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ឆ្នាំ,ជនបទ,,ក្នុង ១០០ កំណើតរស់,35.0
2014,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,,,អាយុក្រោម ១ ឆ្នាំ,ជនបទ,,ក្នុង ១០០ កំណើតរស់,23.0
2000,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,បន្ទាយមានជ័យ,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,31.4
2005,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,បន្ទាយមានជ័យ,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,34.0
2010,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,បន្ទាយមានជ័យ,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,26.0
2014,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,បន្ទាយមានជ័យ,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,20.0
2000,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,កំពង់ចាម,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,38.7
2005,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,កំពង់ចាម,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,35.0
2010,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,កំពង់ចាម,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,33.0
2014,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,កំពង់ចាម,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,25.0
2000,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,កំពង់ឆ្នាំង,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,41.9
2005,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,កំពង់ឆ្នាំង,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,36.0
2010,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,កំពង់ឆ្នាំង,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,45.0
2014,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,កំពង់ឆ្នាំង,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,27.0
2000,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,កំពង់ស្ពឺ,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,26.4
2005,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,កំពង់ស្ពឺ,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,41.0
2010,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,កំពង់ស្ពឺ,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,39.0
2014,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,កំពង់ស្ពឺ,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,19.0
2000,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,កំពង់ធំ,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,38.8
2005,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,កំពង់ធំ,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,38.0
2010,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,កំពង់ធំ,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,29.0
2014,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,កំពង់ធំ,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,29.0
2000,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,កណ្តាល,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,38.8
2005,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,កណ្តាល,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,30.0
2010,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,កណ្តាល,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,34.0
2014,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,កណ្តាល,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,17.0
2000,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,កោះកុង,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,31.5
2005,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ខេត្តក្រចេះ,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,37.0
2010,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ខេត្តក្រចេះ,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,47.0
2014,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ខេត្តក្រចេះ,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,30.0
2005,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ឧត្តរមានជ័យ,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,19.0
2010,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ឧត្តរមានជ័យ,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,20.0
2014,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ឧត្តរមានជ័យ,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,17.0
2000,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ភ្នំពេញ,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,14.0
2005,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ភ្នំពេញ,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,24.0
2010,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ភ្នំពេញ,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,8.0
2014,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ភ្នំពេញ,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,13.0
2000,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ព្រៃវែង,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,52.4
2005,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ព្រៃវែង,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,52.0
2010,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ព្រៃវែង,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,34.0
2014,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ព្រៃវែង,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,33.0
2000,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ពោធិសាត់,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,51.0
2005,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ពោធិសាត់,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,27.0
2010,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ពោធិសាត់,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,29.0
2014,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ពោធិសាត់,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,14.0
2005,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,សៀមរាប,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,34.0
2010,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,សៀមរាប,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,28.0
2014,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,សៀមរាប,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,17.0
2000,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ស្វាយរៀង,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,56.2
2005,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ស្វាយរៀង,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,29.0
2010,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ស្វាយរៀង,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,27.0
2014,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ស្វាយរៀង,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,20.0
2000,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,តាកែវ,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,38.4
2005,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,តាកែវ,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,52.0
2010,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,តាកែវ,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,37.0
2014,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,តាកែវ,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,16.0
2000,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ខេត្តបាត់ដំបងនិងប៉ៃលិន,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,38.3
2005,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ខេត្តបាត់ដំបងនិងប៉ៃលិន,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,29.0
2010,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ខេត្តបាត់ដំបងនិងប៉ៃលិន,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,28.0
2014,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ខេត្តបាត់ដំបងនិងប៉ៃលិន,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,12.0
2000,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,កំពតព្រះសីហនុនិងកែប,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,42.0
2000,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ខេត្តក្រចេះព្រះវិហារនិងស្ទឹងត្រែង,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,25.9
2000,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,មណ្ឌលគីរីនិងរតនគិរី,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,79.8
2005,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,មណ្ឌលគីរីនិងរតនគិរី,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,56.0
2010,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,មណ្ឌលគីរីនិងរតនគិរី,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,30.0
2014,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,មណ្ឌលគីរីនិងរតនគិរី,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,36.0
2000,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ឧត្តរមានជ័យនិងសៀមរាប,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,44.6
2005,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,កំពតនិងកែប,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,37.0
2010,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,កំពតនិងកែប,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,44.0
2014,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,កំពតនិងកែប,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,20.0
2005,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,កោះកុងនិងព្រះសីហនុ,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,37.0
2010,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,កោះកុងនិងព្រះសីហនុ,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,20.0
2014,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,កោះកុងនិងព្រះសីហនុ,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,20.0
2005,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ព្រះវិហារនិងស្ទឹងត្រែង,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,34.0
2010,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ព្រះវិហារនិងស្ទឹងត្រែង,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,29.0
2014,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ព្រះវិហារនិងស្ទឹងត្រែង,,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,25.0
