Year,SERIES,តំបន់យោង,ការរួមភេទ,កំរិតនគរូបនីយកម្ម,UNIT_MEASURE,Value
2004,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,ទីប្រជុំជន,ភាគរយ,56.4
2005,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,ទីប្រជុំជន,ភាគរយ,54.2
2006,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,ទីប្រជុំជន,ភាគរយ,94.9
2007,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,ទីប្រជុំជន,ភាគរយ,91.5
2008,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,ទីប្រជុំជន,ភាគរយ,88.3
2009,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,ទីប្រជុំជន,ភាគរយ,84.4
2010,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,ទីប្រជុំជន,ភាគរយ,88.2
2011,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,ទីប្រជុំជន,ភាគរយ,78.8
2012,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,ទីប្រជុំជន,ភាគរយ,79.2
2013,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,ទីប្រជុំជន,ភាគរយ,78.6
2014,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,ទីប្រជុំជន,ភាគរយ,76.6
2015,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,ទីប្រជុំជន,ភាគរយ,75.2
2016,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,ទីប្រជុំជន,ភាគរយ,74.0
2017,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,ទីប្រជុំជន,ភាគរយ,72.5
2018,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,ទីប្រជុំជន,ភាគរយ,77.1
2019,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,ទីប្រជុំជន,ភាគរយ,77.2
2004,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,ជនបទ,ភាគរយ,44.5
2005,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,ជនបទ,ភាគរយ,41.1
2006,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,ជនបទ,ភាគរយ,90.5
2007,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,ជនបទ,ភាគរយ,88.8
2008,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,ជនបទ,ភាគរយ,87.0
2009,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,ជនបទ,ភាគរយ,83.5
2010,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,ជនបទ,ភាគរយ,84.4
2011,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,ជនបទ,ភាគរយ,92.4
2012,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,ជនបទ,ភាគរយ,90.2
2013,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,ជនបទ,ភាគរយ,92.8
2014,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,ជនបទ,ភាគរយ,88.8
2015,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,ជនបទ,ភាគរយ,86.0
2016,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,ជនបទ,ភាគរយ,85.4
2017,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,ជនបទ,ភាគរយ,85.1
2018,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,ជនបទ,ភាគរយ,88.2
2019,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,ជនបទ,ភាគរយ,90.1
2004,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,តំបន់ដាច់ស្រយាល,ភាគរយ,25.3
2005,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,តំបន់ដាច់ស្រយាល,ភាគរយ,22.8
2006,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,តំបន់ដាច់ស្រយាល,ភាគរយ,52.2
2007,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,តំបន់ដាច់ស្រយាល,ភាគរយ,56.2
2008,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ស្រី,តំបន់ដាច់ស្រយាល,ភាគរយ,60.4
2005,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,,ភាគរយ,43.5
2006,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,,ភាគរយ,90.4
2007,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,,ភាគរយ,84.7
2008,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,,ភាគរយ,85.4
2009,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,,ភាគរយ,82.8
2010,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,,ភាគរយ,85.6
2011,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,,ភាគរយ,89.6
2012,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,,ភាគរយ,86.9
2013,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,,ភាគរយ,87.8
2014,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,,ភាគរយ,81.8
2015,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,,ភាគរយ,77.5
2016,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,,ភាគរយ,76.7
2017,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,,ភាគរយ,75.7
2018,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,,ភាគរយ,78.5
2019,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,,ភាគរយ,79.4
2005,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,ទីប្រជុំជន,ភាគរយ,54.5
2006,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,ទីប្រជុំជន,ភាគរយ,103.1
2007,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,ទីប្រជុំជន,ភាគរយ,91.6
2008,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,ទីប្រជុំជន,ភាគរយ,93.7
2009,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,ទីប្រជុំជន,ភាគរយ,84.3
2010,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,ទីប្រជុំជន,ភាគរយ,93.7
2011,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,ទីប្រជុំជន,ភាគរយ,77.2
2012,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,ទីប្រជុំជន,ភាគរយ,79.0
2013,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,ទីប្រជុំជន,ភាគរយ,75.3
2014,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,ទីប្រជុំជន,ភាគរយ,71.8
2015,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,ទីប្រជុំជន,ភាគរយ,70.2
2016,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,ទីប្រជុំជន,ភាគរយ,68.3
2017,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,ទីប្រជុំជន,ភាគរយ,66.3
2018,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,ទីប្រជុំជន,ភាគរយ,69.2
2019,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,ទីប្រជុំជន,ភាគរយ,69.4
2005,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,ជនបទ,ភាគរយ,42.3
2006,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,ជនបទ,ភាគរយ,89.6
2007,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,ជនបទ,ភាគរយ,84.9
2008,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,ជនបទ,ភាគរយ,85.8
2009,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,ជនបទ,ភាគរយ,82.5
2010,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,ជនបទ,ភាគរយ,84.1
2011,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,ជនបទ,ភាគរយ,92.4
2012,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,ជនបទ,ភាគរយ,97.7
2013,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,ជនបទ,ភាគរយ,90.6
2014,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,ជនបទ,ភាគរយ,84.2
2015,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,ជនបទ,ភាគរយ,79.2
2016,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,ជនបទ,ភាគរយ,78.7
2017,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,ជនបទ,ភាគរយ,78.0
2018,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,ជនបទ,ភាគរយ,80.7
2019,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,ជនបទ,ភាគរយ,81.9
2005,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,តំបន់ដាច់ស្រយាល,ភាគរយ,26.6
2006,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,តំបន់ដាច់ស្រយាល,ភាគរយ,52.7
2007,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,តំបន់ដាច់ស្រយាល,ភាគរយ,52.3
2008,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,ប្រុស,តំបន់ដាច់ស្រយាល,ភាគរយ,57.6
2004,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,,ភាគរយ,46.8
2005,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,,ភាគរយ,42.9
2006,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,,ភាគរយ,90.1
2007,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,,ភាគរយ,86.2
2008,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,,ភាគរយ,85.6
2009,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,,ភាគរយ,83.2
2010,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,,ភាគរយ,85.3
2011,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,,ភាគរយ,89.7
2012,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,,ភាគរយ,87.4
2013,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,,ភាគរយ,88.9
2014,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,,ភាគរយ,84.1
2015,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,,ភាគរយ,80.6
2016,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,,ភាគរយ,79.9
2017,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,,ភាគរយ,79.1
2018,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,,ភាគរយ,82.1
2019,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,,ភាគរយ,83.3
2004,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,ទីប្រជុំជន,ភាគរយ,56.9
2005,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,ទីប្រជុំជន,ភាគរយ,54.4
2006,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,ទីប្រជុំជន,ភាគរយ,99.0
2007,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,ទីប្រជុំជន,ភាគរយ,91.6
2008,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,ទីប្រជុំជន,ភាគរយ,91.0
2009,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,ទីប្រជុំជន,ភាគរយ,84.3
2010,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,ទីប្រជុំជន,ភាគរយ,91.0
2011,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,ទីប្រជុំជន,ភាគរយ,78.0
2012,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,ទីប្រជុំជន,ភាគរយ,79.1
2013,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,ទីប្រជុំជន,ភាគរយ,76.9
2014,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,ទីប្រជុំជន,ភាគរយ,74.1
2015,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,ទីប្រជុំជន,ភាគរយ,72.6
2016,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,ទីប្រជុំជន,ភាគរយ,71.0
2017,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,ទីប្រជុំជន,ភាគរយ,69.3
2018,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,ទីប្រជុំជន,ភាគរយ,73.0
2019,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,ទីប្រជុំជន,ភាគរយ,73.1
2004,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,ជនបទ,ភាគរយ,45.7
2005,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,ជនបទ,ភាគរយ,41.7
2006,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,ជនបទ,ភាគរយ,90.0
2007,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,ជនបទ,ភាគរយ,86.8
2008,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,ជនបទ,ភាគរយ,86.4
2009,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,ជនបទ,ភាគរយ,83.0
2010,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,ជនបទ,ភាគរយ,84.3
2011,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,ជនបទ,ភាគរយ,92.4
2012,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,ជនបទ,ភាគរយ,94.0
2013,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,ជនបទ,ភាគរយ,91.7
2014,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,ជនបទ,ភាគរយ,86.5
2015,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,ជនបទ,ភាគរយ,82.5
2016,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,ជនបទ,ភាគរយ,82.0
2017,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,ជនបទ,ភាគរយ,81.4
2018,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,ជនបទ,ភាគរយ,84.4
2019,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,ជនបទ,ភាគរយ,85.8
2004,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,តំបន់ដាច់ស្រយាល,ភាគរយ,26.0
2005,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,តំបន់ដាច់ស្រយាល,ភាគរយ,24.7
2006,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,តំបន់ដាច់ស្រយាល,ភាគរយ,52.4
2007,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,តំបន់ដាច់ស្រយាល,ភាគរយ,54.1
2008,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,,,តំបន់ដាច់ស្រយាល,ភាគរយ,59.0
2009,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បន្ទាយមានជ័យ,ស្រី,,ភាគរយ,90.7
2010,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បន្ទាយមានជ័យ,ស្រី,,ភាគរយ,94.6
2011,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បន្ទាយមានជ័យ,ស្រី,,ភាគរយ,93.0
2012,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បន្ទាយមានជ័យ,ស្រី,,ភាគរយ,85.1
2013,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បន្ទាយមានជ័យ,ស្រី,,ភាគរយ,84.4
2014,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បន្ទាយមានជ័យ,ស្រី,,ភាគរយ,77.5
2015,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បន្ទាយមានជ័យ,ស្រី,,ភាគរយ,74.4
2016,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បន្ទាយមានជ័យ,ស្រី,,ភាគរយ,73.2
2017,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បន្ទាយមានជ័យ,ស្រី,,ភាគរយ,74.3
2018,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បន្ទាយមានជ័យ,ស្រី,,ភាគរយ,78.4
2019,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បន្ទាយមានជ័យ,ស្រី,,ភាគរយ,78.8
2009,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បន្ទាយមានជ័យ,ប្រុស,,ភាគរយ,85.4
2010,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បន្ទាយមានជ័យ,ប្រុស,,ភាគរយ,93.1
2011,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បន្ទាយមានជ័យ,ប្រុស,,ភាគរយ,90.2
2012,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បន្ទាយមានជ័យ,ប្រុស,,ភាគរយ,96.1
2013,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បន្ទាយមានជ័យ,ប្រុស,,ភាគរយ,82.4
2014,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បន្ទាយមានជ័យ,ប្រុស,,ភាគរយ,73.9
2015,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បន្ទាយមានជ័យ,ប្រុស,,ភាគរយ,67.6
2016,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បន្ទាយមានជ័យ,ប្រុស,,ភាគរយ,66.8
2017,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បន្ទាយមានជ័យ,ប្រុស,,ភាគរយ,65.1
2018,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បន្ទាយមានជ័យ,ប្រុស,,ភាគរយ,69.4
2019,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បន្ទាយមានជ័យ,ប្រុស,,ភាគរយ,73.1
2009,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បន្ទាយមានជ័យ,,,ភាគរយ,88.0
2010,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បន្ទាយមានជ័យ,,,ភាគរយ,93.9
2011,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បន្ទាយមានជ័យ,,,ភាគរយ,91.6
2012,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បន្ទាយមានជ័យ,,,ភាគរយ,90.8
2013,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បន្ទាយមានជ័យ,,,ភាគរយ,83.4
2014,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បន្ទាយមានជ័យ,,,ភាគរយ,75.6
2015,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បន្ទាយមានជ័យ,,,ភាគរយ,70.9
2016,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បន្ទាយមានជ័យ,,,ភាគរយ,69.9
2017,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បន្ទាយមានជ័យ,,,ភាគរយ,69.5
2018,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បន្ទាយមានជ័យ,,,ភាគរយ,73.7
2019,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បន្ទាយមានជ័យ,,,ភាគរយ,75.8
2009,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បាត់ដំបង,ស្រី,,ភាគរយ,85.6
2010,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បាត់ដំបង,ស្រី,,ភាគរយ,73.5
2011,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា,បាត់ដំបង,ស្រី,,ភាគរយ,85.4
