Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,Value
2000,N_KH_030102_01,KH09,,LIVE_BIRTHS_PER_WOMAN,4.3
2008,N_KH_030102_01,KH09,,LIVE_BIRTHS_PER_WOMAN,3.6
2005,N_KH_030102_01,KH10,,LIVE_BIRTHS_PER_WOMAN,4.2
2008,N_KH_030102_01,KH10,,LIVE_BIRTHS_PER_WOMAN,3.7
2010,N_KH_030102_01,KH10,,LIVE_BIRTHS_PER_WOMAN,3.9
2008,N_KH_030102_01,KH11,,LIVE_BIRTHS_PER_WOMAN,4.5
2005,N_KH_030102_01,KH22,,LIVE_BIRTHS_PER_WOMAN,4.2
2008,N_KH_030102_01,KH22,,LIVE_BIRTHS_PER_WOMAN,3.3
2010,N_KH_030102_01,KH22,,LIVE_BIRTHS_PER_WOMAN,3.2
2008,N_KH_030102_01,KH24,,LIVE_BIRTHS_PER_WOMAN,3.6
2000,N_KH_030102_01,KH12,,LIVE_BIRTHS_PER_WOMAN,2.1
2005,N_KH_030102_01,KH12,,LIVE_BIRTHS_PER_WOMAN,2.5
2008,N_KH_030102_01,KH12,,LIVE_BIRTHS_PER_WOMAN,2.0
2010,N_KH_030102_01,KH12,,LIVE_BIRTHS_PER_WOMAN,2.0
2008,N_KH_030102_01,KH18,,LIVE_BIRTHS_PER_WOMAN,3.1
2008,N_KH_030102_01,KH13,,LIVE_BIRTHS_PER_WOMAN,4.0
2000,N_KH_030102_01,KH14,,LIVE_BIRTHS_PER_WOMAN,3.5
2005,N_KH_030102_01,KH14,,LIVE_BIRTHS_PER_WOMAN,3.0
2008,N_KH_030102_01,KH14,,LIVE_BIRTHS_PER_WOMAN,2.9
2010,N_KH_030102_01,KH14,,LIVE_BIRTHS_PER_WOMAN,3.3
2000,N_KH_030102_01,KH15,,LIVE_BIRTHS_PER_WOMAN,4.9
2005,N_KH_030102_01,KH15,,LIVE_BIRTHS_PER_WOMAN,3.9
2008,N_KH_030102_01,KH15,,LIVE_BIRTHS_PER_WOMAN,3.6
2010,N_KH_030102_01,KH15,,LIVE_BIRTHS_PER_WOMAN,3.4
2008,N_KH_030102_01,KH16,,LIVE_BIRTHS_PER_WOMAN,4.9
2005,N_KH_030102_01,KH17,,LIVE_BIRTHS_PER_WOMAN,4.2
2008,N_KH_030102_01,KH17,,LIVE_BIRTHS_PER_WOMAN,3.2
2010,N_KH_030102_01,KH17,,LIVE_BIRTHS_PER_WOMAN,3.4
2008,N_KH_030102_01,KH19,,LIVE_BIRTHS_PER_WOMAN,4.2
2000,N_KH_030102_01,KH20,,LIVE_BIRTHS_PER_WOMAN,3.5
2005,N_KH_030102_01,KH20,,LIVE_BIRTHS_PER_WOMAN,3.0
2008,N_KH_030102_01,KH20,,LIVE_BIRTHS_PER_WOMAN,2.8
2010,N_KH_030102_01,KH20,,LIVE_BIRTHS_PER_WOMAN,2.6
2000,N_KH_030102_01,KH21,,LIVE_BIRTHS_PER_WOMAN,4.1
2005,N_KH_030102_01,KH21,,LIVE_BIRTHS_PER_WOMAN,3.2
2008,N_KH_030102_01,KH21,,LIVE_BIRTHS_PER_WOMAN,3.0
2010,N_KH_030102_01,KH21,,LIVE_BIRTHS_PER_WOMAN,3.1
2000,N_KH_030102_01,KH_AGG_KH02_KH24,,LIVE_BIRTHS_PER_WOMAN,4.5
2005,N_KH_030102_01,KH_AGG_KH02_KH24,,LIVE_BIRTHS_PER_WOMAN,3.5
2010,N_KH_030102_01,KH_AGG_KH02_KH24,,LIVE_BIRTHS_PER_WOMAN,3.2
2000,N_KH_030102_01,KH_AGG_KH07_KH18_KH23,,LIVE_BIRTHS_PER_WOMAN,4.1
2000,N_KH_030102_01,KH_AGG_KH10_KH13_KH19,,LIVE_BIRTHS_PER_WOMAN,4.6
2000,N_KH_030102_01,KH_AGG_KH11_KH16,,LIVE_BIRTHS_PER_WOMAN,6.3
2005,N_KH_030102_01,KH_AGG_KH11_KH16,,LIVE_BIRTHS_PER_WOMAN,5.2
2010,N_KH_030102_01,KH_AGG_KH11_KH16,,LIVE_BIRTHS_PER_WOMAN,4.5
2000,N_KH_030102_01,KH_AGG_KH22_KH17,,LIVE_BIRTHS_PER_WOMAN,4.6
2005,N_KH_030102_01,KH_AGG_KH07_KH23,,LIVE_BIRTHS_PER_WOMAN,3.2
2010,N_KH_030102_01,KH_AGG_KH07_KH23,,LIVE_BIRTHS_PER_WOMAN,2.8
2005,N_KH_030102_01,KH_KH09_KH18,,LIVE_BIRTHS_PER_WOMAN,3.9
2010,N_KH_030102_01,KH_KH09_KH18,,LIVE_BIRTHS_PER_WOMAN,2.9
2005,N_KH_030102_01,KH_AGG_KH13_KH19,,LIVE_BIRTHS_PER_WOMAN,4.9
2010,N_KH_030102_01,KH_AGG_KH13_KH19,,LIVE_BIRTHS_PER_WOMAN,3.5
