Year,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Value
2000,3.2.2 Proportion of births attended by skilled health personnel,Kampong Thom,,Percent,15.4
2005,3.2.2 Proportion of births attended by skilled health personnel,Kampong Thom,,Percent,24.5
2010,3.2.2 Proportion of births attended by skilled health personnel,Kampong Thom,,Percent,47.7
2014,3.2.2 Proportion of births attended by skilled health personnel,Kampong Thom,,Percent,80.4
2000,3.2.2 Proportion of births attended by skilled health personnel,Kandal,,Percent,53.0
2005,3.2.2 Proportion of births attended by skilled health personnel,Kandal,,Percent,73.5
2010,3.2.2 Proportion of births attended by skilled health personnel,Kandal,,Percent,87.0
2014,3.2.2 Proportion of births attended by skilled health personnel,Kandal,,Percent,95.7
2000,3.2.2 Proportion of births attended by skilled health personnel,Koh Kong,,Percent,30.6
2005,3.2.2 Proportion of births attended by skilled health personnel,Kratie,,Percent,28.6
2010,3.2.2 Proportion of births attended by skilled health personnel,Kratie,,Percent,44.4
2014,3.2.2 Proportion of births attended by skilled health personnel,Kratie,,Percent,51.9
2005,3.2.2 Proportion of births attended by skilled health personnel,Oddar Meanchey,,Percent,15.2
2010,3.2.2 Proportion of births attended by skilled health personnel,Oddar Meanchey,,Percent,64.4
2014,3.2.2 Proportion of births attended by skilled health personnel,Oddar Meanchey,,Percent,88.7
2000,3.2.2 Proportion of births attended by skilled health personnel,Phnom Penh,,Percent,88.9
2005,3.2.2 Proportion of births attended by skilled health personnel,Phnom Penh,,Percent,86.0
2010,3.2.2 Proportion of births attended by skilled health personnel,Phnom Penh,,Percent,98.8
2014,3.2.2 Proportion of births attended by skilled health personnel,Phnom Penh,,Percent,96.1
2000,3.2.2 Proportion of births attended by skilled health personnel,Prey Veng,,Percent,25.3
2005,3.2.2 Proportion of births attended by skilled health personnel,Prey Veng,,Percent,28.0
2010,3.2.2 Proportion of births attended by skilled health personnel,Prey Veng,,Percent,59.2
2014,3.2.2 Proportion of births attended by skilled health personnel,Prey Veng,,Percent,97.6
2000,3.2.2 Proportion of births attended by skilled health personnel,Pursat,,Percent,19.0
2005,3.2.2 Proportion of births attended by skilled health personnel,Pursat,,Percent,31.7
2010,3.2.2 Proportion of births attended by skilled health personnel,Pursat,,Percent,73.9
2014,3.2.2 Proportion of births attended by skilled health personnel,Pursat,,Percent,86.1
2005,3.2.2 Proportion of births attended by skilled health personnel,Siemreap,,Percent,28.6
2010,3.2.2 Proportion of births attended by skilled health personnel,Siemreap,,Percent,72.7
2014,3.2.2 Proportion of births attended by skilled health personnel,Siemreap,,Percent,93.0
2000,3.2.2 Proportion of births attended by skilled health personnel,Svay Rieng,,Percent,22.4
2005,3.2.2 Proportion of births attended by skilled health personnel,Svay Rieng,,Percent,28.9
2010,3.2.2 Proportion of births attended by skilled health personnel,Svay Rieng,,Percent,89.6
2014,3.2.2 Proportion of births attended by skilled health personnel,Svay Rieng,,Percent,94.3
2000,3.2.2 Proportion of births attended by skilled health personnel,Takeo,,Percent,39.5
2005,3.2.2 Proportion of births attended by skilled health personnel,Takeo,,Percent,62.1
2010,3.2.2 Proportion of births attended by skilled health personnel,Takeo,,Percent,85.4
2014,3.2.2 Proportion of births attended by skilled health personnel,Takeo,,Percent,97.4
2000,3.2.2 Proportion of births attended by skilled health personnel,Battambang and Pailin,,Percent,44.7
2005,3.2.2 Proportion of births attended by skilled health personnel,Battambang and Pailin,,Percent,59.3
2010,3.2.2 Proportion of births attended by skilled health personnel,Battambang and Pailin,,Percent,78.1
2014,3.2.2 Proportion of births attended by skilled health personnel,Battambang and Pailin,,Percent,94.1
2000,3.2.2 Proportion of births attended by skilled health personnel,"Kampot, Preah Sihanouk and Kep",,Percent,30.8
2000,3.2.2 Proportion of births attended by skilled health personnel,"Kratie, Preah Vihear and Stung Treng",,Percent,40.5
2000,3.2.2 Proportion of births attended by skilled health personnel,Mondul Kiri and Ratanak Kiri,,Percent,14.2
2005,3.2.2 Proportion of births attended by skilled health personnel,Mondul Kiri and Ratanak Kiri,,Percent,13.7
2010,3.2.2 Proportion of births attended by skilled health personnel,Mondul Kiri and Ratanak Kiri,,Percent,38.4
2014,3.2.2 Proportion of births attended by skilled health personnel,Mondul Kiri and Ratanak Kiri,,Percent,53.6
2000,3.2.2 Proportion of births attended by skilled health personnel,Otdar Meanchey and Siem Reap,,Percent,12.0
2005,3.2.2 Proportion of births attended by skilled health personnel,Kampot and Kep,,Percent,41.0
2010,3.2.2 Proportion of births attended by skilled health personnel,Kampot and Kep,,Percent,66.5
2014,3.2.2 Proportion of births attended by skilled health personnel,Kampot and Kep,,Percent,90.5
2005,3.2.2 Proportion of births attended by skilled health personnel,Koh Kong and Preah Sihanouk,,Percent,57.1
2010,3.2.2 Proportion of births attended by skilled health personnel,Koh Kong and Preah Sihanouk,,Percent,79.2
2014,3.2.2 Proportion of births attended by skilled health personnel,Koh Kong and Preah Sihanouk,,Percent,97.5
2005,3.2.2 Proportion of births attended by skilled health personnel,Preah Vihear and Stung Treng,,Percent,12.9
2010,3.2.2 Proportion of births attended by skilled health personnel,Preah Vihear and Stung Treng,,Percent,28.2
2014,3.2.2 Proportion of births attended by skilled health personnel,Preah Vihear and Stung Treng,,Percent,54.6
