Year,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Value
2014,4.1.1.2 Completion rate Grade 9,,,,Percent,40.3
2015,4.1.1.2 Completion rate Grade 9,,,,Percent,39.2
2016,4.1.1.2 Completion rate Grade 9,,,,Percent,42.6
2017,4.1.1.2 Completion rate Grade 9,,,,Percent,44.5
2018,4.1.1.2 Completion rate Grade 9,,,,Percent,45.3
2019,4.1.1.2 Completion rate Grade 9,,,,Percent,44.5
2004,4.1.1.2 Completion rate Grade 9,,,Urban,Percent,36.7
2005,4.1.1.2 Completion rate Grade 9,,,Urban,Percent,33.6
2006,4.1.1.2 Completion rate Grade 9,,,Urban,Percent,75.9
2007,4.1.1.2 Completion rate Grade 9,,,Urban,Percent,83.3
2008,4.1.1.2 Completion rate Grade 9,,,Urban,Percent,79.0
2009,4.1.1.2 Completion rate Grade 9,,,Urban,Percent,68.2
2010,4.1.1.2 Completion rate Grade 9,,,Urban,Percent,60.8
2011,4.1.1.2 Completion rate Grade 9,,,Urban,Percent,52.6
2012,4.1.1.2 Completion rate Grade 9,,,Urban,Percent,51.5
2013,4.1.1.2 Completion rate Grade 9,,,Urban,Percent,49.7
2014,4.1.1.2 Completion rate Grade 9,,,Urban,Percent,49.6
2015,4.1.1.2 Completion rate Grade 9,,,Urban,Percent,44.5
2016,4.1.1.2 Completion rate Grade 9,,,Urban,Percent,45.0
2017,4.1.1.2 Completion rate Grade 9,,,Urban,Percent,45.6
2018,4.1.1.2 Completion rate Grade 9,,,Urban,Percent,45.8
2019,4.1.1.2 Completion rate Grade 9,,,Urban,Percent,46.0
2004,4.1.1.2 Completion rate Grade 9,,,Rural,Percent,16.7
2005,4.1.1.2 Completion rate Grade 9,,,Rural,Percent,16.2
2006,4.1.1.2 Completion rate Grade 9,,,Rural,Percent,36.2
2007,4.1.1.2 Completion rate Grade 9,,,Rural,Percent,43.0
2008,4.1.1.2 Completion rate Grade 9,,,Rural,Percent,44.3
2009,4.1.1.2 Completion rate Grade 9,,,Rural,Percent,44.7
2010,4.1.1.2 Completion rate Grade 9,,,Rural,Percent,40.8
2011,4.1.1.2 Completion rate Grade 9,,,Rural,Percent,39.7
2012,4.1.1.2 Completion rate Grade 9,,,Rural,Percent,37.7
2013,4.1.1.2 Completion rate Grade 9,,,Rural,Percent,36.6
2014,4.1.1.2 Completion rate Grade 9,,,Rural,Percent,38.0
2015,4.1.1.2 Completion rate Grade 9,,,Rural,Percent,37.9
2016,4.1.1.2 Completion rate Grade 9,,,Rural,Percent,42.0
2017,4.1.1.2 Completion rate Grade 9,,,Rural,Percent,44.3
2018,4.1.1.2 Completion rate Grade 9,,,Rural,Percent,45.1
2019,4.1.1.2 Completion rate Grade 9,,,Rural,Percent,44.1
2004,4.1.1.2 Completion rate Grade 9,,,Remote Area,Percent,15.1
2005,4.1.1.2 Completion rate Grade 9,,,Remote Area,Percent,12.1
2006,4.1.1.2 Completion rate Grade 9,,,Remote Area,Percent,14.0
2007,4.1.1.2 Completion rate Grade 9,,,Remote Area,Percent,18.3
2008,4.1.1.2 Completion rate Grade 9,,,Remote Area,Percent,22.0
2009,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,Female,,Percent,47.9
2010,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,Female,,Percent,51.4
2011,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,Female,,Percent,37.3
2012,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,Female,,Percent,34.5
2013,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,Female,,Percent,32.6
2014,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,Female,,Percent,34.5
2015,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,Female,,Percent,33.1
2016,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,Female,,Percent,36.7
2017,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,Female,,Percent,38.2
2018,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,Female,,Percent,41.3
2019,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,Female,,Percent,41.4
2009,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,Male,,Percent,46.0
2010,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,Male,,Percent,50.4
2011,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,Male,,Percent,34.2
2012,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,Male,,Percent,29.8
2013,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,Male,,Percent,28.5
2014,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,Male,,Percent,28.9
2015,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,Male,,Percent,28.8
2016,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,Male,,Percent,31.8
2017,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,Male,,Percent,31.3
2018,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,Male,,Percent,31.9
2019,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,Male,,Percent,31.6
2009,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,,,Percent,46.9
2010,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,,,Percent,50.9
2011,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,,,Percent,35.7
2012,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,,,Percent,32.1
2013,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,,,Percent,30.5
2014,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,,,Percent,31.6
2015,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,,,Percent,30.9
2016,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,,,Percent,34.2
2017,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,,,Percent,34.6
2018,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,,,Percent,36.4
2019,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,,,Percent,36.3
2009,4.1.1.2 Completion rate Grade 9,Battambang,Female,,Percent,46.5
2010,4.1.1.2 Completion rate Grade 9,Battambang,Female,,Percent,41.6
2011,4.1.1.2 Completion rate Grade 9,Battambang,Female,,Percent,38.6
2012,4.1.1.2 Completion rate Grade 9,Battambang,Female,,Percent,35.6
2013,4.1.1.2 Completion rate Grade 9,Battambang,Female,,Percent,34.9
2014,4.1.1.2 Completion rate Grade 9,Battambang,Female,,Percent,35.4
2015,4.1.1.2 Completion rate Grade 9,Battambang,Female,,Percent,34.6
2016,4.1.1.2 Completion rate Grade 9,Battambang,Female,,Percent,36.3
2017,4.1.1.2 Completion rate Grade 9,Battambang,Female,,Percent,38.6
2018,4.1.1.2 Completion rate Grade 9,Battambang,Female,,Percent,40.6
2019,4.1.1.2 Completion rate Grade 9,Battambang,Female,,Percent,41.4
2009,4.1.1.2 Completion rate Grade 9,Battambang,Male,,Percent,44.0
2010,4.1.1.2 Completion rate Grade 9,Battambang,Male,,Percent,43.0
2011,4.1.1.2 Completion rate Grade 9,Battambang,Male,,Percent,33.7
2012,4.1.1.2 Completion rate Grade 9,Battambang,Male,,Percent,30.3
2013,4.1.1.2 Completion rate Grade 9,Battambang,Male,,Percent,28.3
2014,4.1.1.2 Completion rate Grade 9,Battambang,Male,,Percent,28.3
2015,4.1.1.2 Completion rate Grade 9,Battambang,Male,,Percent,27.4
2016,4.1.1.2 Completion rate Grade 9,Battambang,Male,,Percent,28.5
2017,4.1.1.2 Completion rate Grade 9,Battambang,Male,,Percent,30.3
2018,4.1.1.2 Completion rate Grade 9,Battambang,Male,,Percent,32.2
2019,4.1.1.2 Completion rate Grade 9,Battambang,Male,,Percent,30.8
2009,4.1.1.2 Completion rate Grade 9,Battambang,,,Percent,45.2
2010,4.1.1.2 Completion rate Grade 9,Battambang,,,Percent,42.2
2011,4.1.1.2 Completion rate Grade 9,Battambang,,,Percent,36.1
2012,4.1.1.2 Completion rate Grade 9,Battambang,,,Percent,32.9
2013,4.1.1.2 Completion rate Grade 9,Battambang,,,Percent,31.5
2014,4.1.1.2 Completion rate Grade 9,Battambang,,,Percent,31.8
2015,4.1.1.2 Completion rate Grade 9,Battambang,,,Percent,30.9
2016,4.1.1.2 Completion rate Grade 9,Battambang,,,Percent,32.3
2017,4.1.1.2 Completion rate Grade 9,Battambang,,,Percent,34.3
2018,4.1.1.2 Completion rate Grade 9,Battambang,,,Percent,36.3
2019,4.1.1.2 Completion rate Grade 9,Battambang,,,Percent,35.9
2009,4.1.1.2 Completion rate Grade 9,Kampong Cham,Female,,Percent,40.8
2010,4.1.1.2 Completion rate Grade 9,Kampong Cham,Female,,Percent,34.6
2011,4.1.1.2 Completion rate Grade 9,Kampong Cham,Female,,Percent,38.4
2012,4.1.1.2 Completion rate Grade 9,Kampong Cham,Female,,Percent,37.9
2013,4.1.1.2 Completion rate Grade 9,Kampong Cham,Female,,Percent,39.8
2014,4.1.1.2 Completion rate Grade 9,Kampong Cham,Female,,Percent,47.0
2015,4.1.1.2 Completion rate Grade 9,Kampong Cham,Female,,Percent,45.5
2016,4.1.1.2 Completion rate Grade 9,Kampong Cham,Female,,Percent,51.4
2017,4.1.1.2 Completion rate Grade 9,Kampong Cham,Female,,Percent,54.3
2018,4.1.1.2 Completion rate Grade 9,Kampong Cham,Female,,Percent,57.1
2019,4.1.1.2 Completion rate Grade 9,Kampong Cham,Female,,Percent,56.1
2009,4.1.1.2 Completion rate Grade 9,Kampong Cham,Male,,Percent,40.2
2010,4.1.1.2 Completion rate Grade 9,Kampong Cham,Male,,Percent,38.7
2011,4.1.1.2 Completion rate Grade 9,Kampong Cham,Male,,Percent,36.4
2012,4.1.1.2 Completion rate Grade 9,Kampong Cham,Male,,Percent,35.1
2013,4.1.1.2 Completion rate Grade 9,Kampong Cham,Male,,Percent,36.2
2014,4.1.1.2 Completion rate Grade 9,Kampong Cham,Male,,Percent,40.8
2015,4.1.1.2 Completion rate Grade 9,Kampong Cham,Male,,Percent,38.5
2016,4.1.1.2 Completion rate Grade 9,Kampong Cham,Male,,Percent,40.5
2017,4.1.1.2 Completion rate Grade 9,Kampong Cham,Male,,Percent,41.1
2018,4.1.1.2 Completion rate Grade 9,Kampong Cham,Male,,Percent,42.5
2019,4.1.1.2 Completion rate Grade 9,Kampong Cham,Male,,Percent,40.4
2009,4.1.1.2 Completion rate Grade 9,Kampong Cham,,,Percent,40.5
2010,4.1.1.2 Completion rate Grade 9,Kampong Cham,,,Percent,36.6
2011,4.1.1.2 Completion rate Grade 9,Kampong Cham,,,Percent,37.4
2012,4.1.1.2 Completion rate Grade 9,Kampong Cham,,,Percent,36.5
2013,4.1.1.2 Completion rate Grade 9,Kampong Cham,,,Percent,37.9
2014,4.1.1.2 Completion rate Grade 9,Kampong Cham,,,Percent,43.8
2015,4.1.1.2 Completion rate Grade 9,Kampong Cham,,,Percent,41.9
2016,4.1.1.2 Completion rate Grade 9,Kampong Cham,,,Percent,45.8
2017,4.1.1.2 Completion rate Grade 9,Kampong Cham,,,Percent,47.5
2018,4.1.1.2 Completion rate Grade 9,Kampong Cham,,,Percent,49.5
2019,4.1.1.2 Completion rate Grade 9,Kampong Cham,,,Percent,47.9
2009,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Female,,Percent,51.3
2010,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Female,,Percent,52.8
2011,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Female,,Percent,41.3
2012,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Female,,Percent,40.7
2013,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Female,,Percent,41.6
2014,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Female,,Percent,45.8
2015,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Female,,Percent,47.7
2016,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Female,,Percent,53.7
2017,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Female,,Percent,57.5
2018,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Female,,Percent,57.1
2019,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Female,,Percent,54.5
2009,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Male,,Percent,51.6
2010,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Male,,Percent,49.2
2011,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Male,,Percent,40.1
2012,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Male,,Percent,36.6
2013,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Male,,Percent,36.0
2014,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Male,,Percent,37.7
2015,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Male,,Percent,40.1
2016,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Male,,Percent,41.1
2017,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Male,,Percent,44.4
2018,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Male,,Percent,41.2
2019,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Male,,Percent,41.0
2009,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,,,Percent,51.5
2010,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,,,Percent,51.0
2011,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,,,Percent,40.7
2012,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,,,Percent,38.6
2013,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,,,Percent,38.8
2014,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,,,Percent,41.6
2015,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,,,Percent,43.8
2016,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,,,Percent,47.2
2017,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,,,Percent,50.7
2018,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,,,Percent,48.9
2019,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,,,Percent,47.5
2009,4.1.1.2 Completion rate Grade 9,Kampong Speu,Female,,Percent,38.0
2010,4.1.1.2 Completion rate Grade 9,Kampong Speu,Female,,Percent,34.7
2011,4.1.1.2 Completion rate Grade 9,Kampong Speu,Female,,Percent,30.5
2012,4.1.1.2 Completion rate Grade 9,Kampong Speu,Female,,Percent,30.0
2013,4.1.1.2 Completion rate Grade 9,Kampong Speu,Female,,Percent,32.7
2014,4.1.1.2 Completion rate Grade 9,Kampong Speu,Female,,Percent,35.7
2015,4.1.1.2 Completion rate Grade 9,Kampong Speu,Female,,Percent,37.5
2016,4.1.1.2 Completion rate Grade 9,Kampong Speu,Female,,Percent,44.6
2017,4.1.1.2 Completion rate Grade 9,Kampong Speu,Female,,Percent,49.7
2018,4.1.1.2 Completion rate Grade 9,Kampong Speu,Female,,Percent,47.2
2019,4.1.1.2 Completion rate Grade 9,Kampong Speu,Female,,Percent,46.1
2009,4.1.1.2 Completion rate Grade 9,Kampong Speu,Male,,Percent,46.5
2010,4.1.1.2 Completion rate Grade 9,Kampong Speu,Male,,Percent,47.1
2011,4.1.1.2 Completion rate Grade 9,Kampong Speu,Male,,Percent,40.3
2012,4.1.1.2 Completion rate Grade 9,Kampong Speu,Male,,Percent,36.4
2013,4.1.1.2 Completion rate Grade 9,Kampong Speu,Male,,Percent,37.0
2014,4.1.1.2 Completion rate Grade 9,Kampong Speu,Male,,Percent,39.1
2015,4.1.1.2 Completion rate Grade 9,Kampong Speu,Male,,Percent,37.8
2016,4.1.1.2 Completion rate Grade 9,Kampong Speu,Male,,Percent,39.4
2017,4.1.1.2 Completion rate Grade 9,Kampong Speu,Male,,Percent,42.9
2018,4.1.1.2 Completion rate Grade 9,Kampong Speu,Male,,Percent,40.5
2019,4.1.1.2 Completion rate Grade 9,Kampong Speu,Male,,Percent,37.5
2009,4.1.1.2 Completion rate Grade 9,Kampong Speu,,,Percent,42.4
2010,4.1.1.2 Completion rate Grade 9,Kampong Speu,,,Percent,40.9
2011,4.1.1.2 Completion rate Grade 9,Kampong Speu,,,Percent,35.6
2012,4.1.1.2 Completion rate Grade 9,Kampong Speu,,,Percent,33.3
2013,4.1.1.2 Completion rate Grade 9,Kampong Speu,,,Percent,34.9
2014,4.1.1.2 Completion rate Grade 9,Kampong Speu,,,Percent,37.5
2015,4.1.1.2 Completion rate Grade 9,Kampong Speu,,,Percent,37.7
2016,4.1.1.2 Completion rate Grade 9,Kampong Speu,,,Percent,41.9
2017,4.1.1.2 Completion rate Grade 9,Kampong Speu,,,Percent,46.2
2018,4.1.1.2 Completion rate Grade 9,Kampong Speu,,,Percent,43.7
2019,4.1.1.2 Completion rate Grade 9,Kampong Speu,,,Percent,41.6
2009,4.1.1.2 Completion rate Grade 9,Kampong Thom,Female,,Percent,43.0
2010,4.1.1.2 Completion rate Grade 9,Kampong Thom,Female,,Percent,39.2
2011,4.1.1.2 Completion rate Grade 9,Kampong Thom,Female,,Percent,39.1
2012,4.1.1.2 Completion rate Grade 9,Kampong Thom,Female,,Percent,36.2
2013,4.1.1.2 Completion rate Grade 9,Kampong Thom,Female,,Percent,39.0
2014,4.1.1.2 Completion rate Grade 9,Kampong Thom,Female,,Percent,38.9
2015,4.1.1.2 Completion rate Grade 9,Kampong Thom,Female,,Percent,38.1
2016,4.1.1.2 Completion rate Grade 9,Kampong Thom,Female,,Percent,45.3
2017,4.1.1.2 Completion rate Grade 9,Kampong Thom,Female,,Percent,48.5
2018,4.1.1.2 Completion rate Grade 9,Kampong Thom,Female,,Percent,52.6
2019,4.1.1.2 Completion rate Grade 9,Kampong Thom,Female,,Percent,50.7
2009,4.1.1.2 Completion rate Grade 9,Kampong Thom,Male,,Percent,40.6
2010,4.1.1.2 Completion rate Grade 9,Kampong Thom,Male,,Percent,45.3
2011,4.1.1.2 Completion rate Grade 9,Kampong Thom,Male,,Percent,35.8
2012,4.1.1.2 Completion rate Grade 9,Kampong Thom,Male,,Percent,33.6
2013,4.1.1.2 Completion rate Grade 9,Kampong Thom,Male,,Percent,31.8
2014,4.1.1.2 Completion rate Grade 9,Kampong Thom,Male,,Percent,31.7
2015,4.1.1.2 Completion rate Grade 9,Kampong Thom,Male,,Percent,30.5
2016,4.1.1.2 Completion rate Grade 9,Kampong Thom,Male,,Percent,34.7
2017,4.1.1.2 Completion rate Grade 9,Kampong Thom,Male,,Percent,36.6
2018,4.1.1.2 Completion rate Grade 9,Kampong Thom,Male,,Percent,38.8
2019,4.1.1.2 Completion rate Grade 9,Kampong Thom,Male,,Percent,38.4
2009,4.1.1.2 Completion rate Grade 9,Kampong Thom,,,Percent,41.8
2010,4.1.1.2 Completion rate Grade 9,Kampong Thom,,,Percent,42.1
2011,4.1.1.2 Completion rate Grade 9,Kampong Thom,,,Percent,37.4
2012,4.1.1.2 Completion rate Grade 9,Kampong Thom,,,Percent,34.9
2013,4.1.1.2 Completion rate Grade 9,Kampong Thom,,,Percent,35.2
2014,4.1.1.2 Completion rate Grade 9,Kampong Thom,,,Percent,35.2
2015,4.1.1.2 Completion rate Grade 9,Kampong Thom,,,Percent,34.2
2016,4.1.1.2 Completion rate Grade 9,Kampong Thom,,,Percent,39.8
2017,4.1.1.2 Completion rate Grade 9,Kampong Thom,,,Percent,42.3
2018,4.1.1.2 Completion rate Grade 9,Kampong Thom,,,Percent,45.4
2019,4.1.1.2 Completion rate Grade 9,Kampong Thom,,,Percent,44.3
