Year,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,UNIT_MEASURE,Value
2014,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,,,under 5 years old,,Quintile 4,Percent,29.1
2005,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,,,under 5 years old,,Quintile 5 (richest),Percent,19.4
2010,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,,,under 5 years old,,Quintile 5 (richest),Percent,23.1
2014,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,,,under 5 years old,,Quintile 5 (richest),Percent,18.5
2000,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,,,under 5 years old,Urban,,Percent,38.1
2005,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,,,under 5 years old,Urban,,Percent,30.5
2010,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,,,under 5 years old,Urban,,Percent,27.5
2014,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,,,under 5 years old,Urban,,Percent,23.7
2000,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,,,under 5 years old,Rural,,Percent,45.7
2005,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,,,under 5 years old,Rural,,Percent,38.3
2010,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,,,under 5 years old,Rural,,Percent,42.2
2014,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,,,under 5 years old,Rural,,Percent,33.8
2000,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Banteay Meanchey,,under 5 years old,,,Percent,28.9
2005,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Banteay Meanchey,,under 5 years old,,,Percent,34.1
2010,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Banteay Meanchey,,under 5 years old,,,Percent,33.4
2014,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Banteay Meanchey,,under 5 years old,,,Percent,28.6
2000,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kampong Cham,,under 5 years old,,,Percent,48.2
2005,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kampong Cham,,under 5 years old,,,Percent,37.2
2010,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kampong Cham,,under 5 years old,,,Percent,46.9
2014,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kampong Cham,,under 5 years old,,,Percent,33.5
2000,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kampong Chhnang,,under 5 years old,,,Percent,45.9
2005,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kampong Chhnang,,under 5 years old,,,Percent,37.3
2010,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kampong Chhnang,,under 5 years old,,,Percent,40.3
2014,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kampong Chhnang,,under 5 years old,,,Percent,42.8
2000,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kampong Speu,,under 5 years old,,,Percent,44.5
2005,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kampong Speu,,under 5 years old,,,Percent,36.6
2010,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kampong Speu,,under 5 years old,,,Percent,42.1
2014,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kampong Speu,,under 5 years old,,,Percent,40.5
2000,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kampong Thom,,under 5 years old,,,Percent,47.2
2005,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kampong Thom,,under 5 years old,,,Percent,41.1
2010,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kampong Thom,,under 5 years old,,,Percent,49.9
2014,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kampong Thom,,under 5 years old,,,Percent,36.4
2000,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kandal,,under 5 years old,,,Percent,46.2
2005,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kandal,,under 5 years old,,,Percent,26.8
2010,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kandal,,under 5 years old,,,Percent,34.9
2014,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kandal,,under 5 years old,,,Percent,28.1
2000,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Koh Kong,,under 5 years old,,,Percent,55.0
2005,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kratie,,under 5 years old,,,Percent,37.1
2010,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kratie,,under 5 years old,,,Percent,47.6
2014,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kratie,,under 5 years old,,,Percent,38.4
2005,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Oddar Meanchey,,under 5 years old,,,Percent,47.3
2010,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Oddar Meanchey,,under 5 years old,,,Percent,39.6
2014,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Oddar Meanchey,,under 5 years old,,,Percent,36.3
2000,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Phnom Penh,,under 5 years old,,,Percent,22.6
2005,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Phnom Penh,,under 5 years old,,,Percent,22.3
2010,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Phnom Penh,,under 5 years old,,,Percent,25.1
2014,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Phnom Penh,,under 5 years old,,,Percent,17.9
2000,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Prey Veng,,under 5 years old,,,Percent,51.2
2005,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Prey Veng,,under 5 years old,,,Percent,38.3
2010,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Prey Veng,,under 5 years old,,,Percent,34.6
2014,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Prey Veng,,under 5 years old,,,Percent,32.7
2000,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Pursat,,under 5 years old,,,Percent,46.3
2005,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Pursat,,under 5 years old,,,Percent,61.6
2010,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Pursat,,under 5 years old,,,Percent,44.8
2014,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Pursat,,under 5 years old,,,Percent,38.8
2005,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Siemreap,,under 5 years old,,,Percent,53.3
2010,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Siemreap,,under 5 years old,,,Percent,50.3
2014,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Siemreap,,under 5 years old,,,Percent,35.9
2000,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Svay Rieng,,under 5 years old,,,Percent,51.3
2005,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Svay Rieng,,under 5 years old,,,Percent,35.4
2010,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Svay Rieng,,under 5 years old,,,Percent,31.2
2014,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Svay Rieng,,under 5 years old,,,Percent,32.8
2000,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Takeo,,under 5 years old,,,Percent,42.1
2005,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Takeo,,under 5 years old,,,Percent,38.5
2010,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Takeo,,under 5 years old,,,Percent,41.3
2014,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Takeo,,under 5 years old,,,Percent,30.7
2000,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Battambang and Pailin,,under 5 years old,,,Percent,36.3
2005,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Battambang and Pailin,,under 5 years old,,,Percent,36.2
2010,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Battambang and Pailin,,under 5 years old,,,Percent,26.5
2014,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Battambang and Pailin,,under 5 years old,,,Percent,24.9
2000,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,"Kampot, Preah Sihanouk and Kep",,under 5 years old,,,Percent,43.4
2000,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,"Kratie, Preah Vihear and Stung Treng",,under 5 years old,,,Percent,51.0
2000,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Mondul Kiri and Ratanak Kiri,,under 5 years old,,,Percent,55.0
2005,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Mondul Kiri and Ratanak Kiri,,under 5 years old,,,Percent,54.0
2010,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Mondul Kiri and Ratanak Kiri,,under 5 years old,,,Percent,54.9
2014,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Mondul Kiri and Ratanak Kiri,,under 5 years old,,,Percent,39.8
2000,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Otdar Meanchey and Siem Reap,,under 5 years old,,,Percent,50.7
2005,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kampot and Kep,,under 5 years old,,,Percent,28.2
2010,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kampot and Kep,,under 5 years old,,,Percent,43.4
2014,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Kampot and Kep,,under 5 years old,,,Percent,25.2
2005,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Koh Kong and Preah Sihanouk,,under 5 years old,,,Percent,36.8
2010,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Koh Kong and Preah Sihanouk,,under 5 years old,,,Percent,41.8
2014,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Koh Kong and Preah Sihanouk,,under 5 years old,,,Percent,33.4
2005,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Preah Vihear and Stung Treng,,under 5 years old,,,Percent,42.0
2010,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Preah Vihear and Stung Treng,,under 5 years old,,,Percent,56.4
2014,2.2.1 Percent of children under 5 years old who are moderately or severely stunted,Preah Vihear and Stung Treng,,under 5 years old,,,Percent,44.3
