Year,SERIES,តំបន់យោង,ការរួមភេទ,កំរិតនគរូបនីយកម្ម,UNIT_MEASURE,Value
2011,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,,,ឆ្នាំ,65.2
2012,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,,,ឆ្នាំ,66.7
2013,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,,,ឆ្នាំ,67.6
2014,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,,,ឆ្នាំ,68.3
2015,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,,,ឆ្នាំ,69.1
2016,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,,,ឆ្នាំ,69.9
2017,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,,,ឆ្នាំ,70.6
2018,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,,,ឆ្នាំ,70.6
2019,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,,,ឆ្នាំ,75.5
1998,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,,ទីប្រជុំជន,ឆ្នាំ,60.0
2019,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,,ទីប្រជុំជន,ឆ្នាំ,75.6
1998,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,,ជនបទ,ឆ្នាំ,55.8
2019,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,,ជនបទ,ឆ្នាំ,74.5
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,បន្ទាយមានជ័យ,ស្រី,,ឆ្នាំ,67.9
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,បន្ទាយមានជ័យ,ប្រុស,,ឆ្នាំ,64.0
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,បន្ទាយមានជ័យ,,,ឆ្នាំ,65.9
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,បាត់ដំបង,ស្រី,,ឆ្នាំ,67.2
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,បាត់ដំបង,ប្រុស,,ឆ្នាំ,63.3
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,បាត់ដំបង,,,ឆ្នាំ,65.2
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កំពង់ចាម,ស្រី,,ឆ្នាំ,66.7
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កំពង់ចាម,ប្រុស,,ឆ្នាំ,62.9
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កំពង់ចាម,,,ឆ្នាំ,64.8
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កំពង់ឆ្នាំង,ស្រី,,ឆ្នាំ,68.6
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កំពង់ឆ្នាំង,ប្រុស,,ឆ្នាំ,64.7
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កំពង់ឆ្នាំង,,,ឆ្នាំ,66.6
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កំពង់ស្ពឺ,ស្រី,,ឆ្នាំ,63.8
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កំពង់ស្ពឺ,ប្រុស,,ឆ្នាំ,60.0
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កំពង់ស្ពឺ,,,ឆ្នាំ,61.8
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កំពង់ធំ,ស្រី,,ឆ្នាំ,64.7
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កំពង់ធំ,ប្រុស,,ឆ្នាំ,60.9
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កំពង់ធំ,,,ឆ្នាំ,62.8
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កំពត,ស្រី,,ឆ្នាំ,62.1
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កំពត,ប្រុស,,ឆ្នាំ,58.5
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កំពត,,,ឆ្នាំ,60.2
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កណ្តាល,ស្រី,,ឆ្នាំ,67.1
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កណ្តាល,ប្រុស,,ឆ្នាំ,63.2
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កណ្តាល,,,ឆ្នាំ,65.1
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កែប,ស្រី,,ឆ្នាំ,65.0
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កែប,ប្រុស,,ឆ្នាំ,61.2
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កែប,,,ឆ្នាំ,63.0
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កោះកុង,ស្រី,,ឆ្នាំ,60.9
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កោះកុង,ប្រុស,,ឆ្នាំ,57.3
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,កោះកុង,,,ឆ្នាំ,59.1
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ខេត្តក្រចេះ,ស្រី,,ឆ្នាំ,60.5
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ខេត្តក្រចេះ,ប្រុស,,ឆ្នាំ,57.0
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ខេត្តក្រចេះ,,,ឆ្នាំ,58.7
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,មណ្ឌលគីរី,ស្រី,,ឆ្នាំ,45.5
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,មណ្ឌលគីរី,ប្រុស,,ឆ្នាំ,52.5
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,មណ្ឌលគីរី,,,ឆ្នាំ,44.0
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ឧត្តរមានជ័យ,ស្រី,,ឆ្នាំ,60.8
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ឧត្តរមានជ័យ,ប្រុស,,ឆ្នាំ,57.2
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ឧត្តរមានជ័យ,,,ឆ្នាំ,59.0
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប៉ៃលិន,ស្រី,,ឆ្នាំ,64.2
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប៉ៃលិន,ប្រុស,,ឆ្នាំ,60.4
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប៉ៃលិន,,,ឆ្នាំ,62.3
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ភ្នំពេញ,ស្រី,,ឆ្នាំ,70.8
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ភ្នំពេញ,ប្រុស,,ឆ្នាំ,66.8
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ភ្នំពេញ,,,ឆ្នាំ,68.8
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ព្រះសីហនុ,ស្រី,,ឆ្នាំ,54.4
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ព្រះសីហនុ,ប្រុស,,ឆ្នាំ,51.3
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ព្រះសីហនុ,,,ឆ្នាំ,52.8
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ព្រះវិហារ,ស្រី,,ឆ្នាំ,43.4
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ព្រះវិហារ,ប្រុស,,ឆ្នាំ,40.5
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ព្រះវិហារ,,,ឆ្នាំ,41.9
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ព្រៃវែង,ស្រី,,ឆ្នាំ,65.7
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ព្រៃវែង,ប្រុស,,ឆ្នាំ,61.9
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ព្រៃវែង,,,ឆ្នាំ,63.8
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ពោធិសាត់,ស្រី,,ឆ្នាំ,65.1
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ពោធិសាត់,ប្រុស,,ឆ្នាំ,61.4
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ពោធិសាត់,,,ឆ្នាំ,63.2
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,រតនគិរី,ស្រី,,ឆ្នាំ,35.0
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,រតនគិរី,ប្រុស,,ឆ្នាំ,32.5
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,រតនគិរី,,,ឆ្នាំ,33.7
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,សៀមរាប,ស្រី,,ឆ្នាំ,70.0
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,សៀមរាប,ប្រុស,,ឆ្នាំ,66.1
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,សៀមរាប,,,ឆ្នាំ,68.7
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ស្ទឹងត្រែង,ស្រី,,ឆ្នាំ,54.6
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ស្ទឹងត្រែង,ប្រុស,,ឆ្នាំ,51.5
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ស្ទឹងត្រែង,,,ឆ្នាំ,53.0
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ស្វាយរៀង,ស្រី,,ឆ្នាំ,58.8
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ស្វាយរៀង,ប្រុស,,ឆ្នាំ,55.3
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ស្វាយរៀង,,,ឆ្នាំ,57.0
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,តាកែវ,ស្រី,,ឆ្នាំ,64.3
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,តាកែវ,ប្រុស,,ឆ្នាំ,60.5
2008,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,តាកែវ,,,ឆ្នាំ,62.4
2019,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ស្រី,ទីប្រជុំជន,ឆ្នាំ,77.7
2019,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ស្រី,ជនបទ,ឆ្នាំ,76.4
2019,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ប្រុស,ជនបទ,ឆ្នាំ,72.8
2019,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,,ប្រុស,ទីប្រជុំជន,ឆ្នាំ,73.5
