Year,SERIES,តំបន់យោង,កំរិតនគរូបនីយកម្ម,UNIT_MEASURE,Value
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),បន្ទាយមានជ័យ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.2
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),បាត់ដំបង,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.2
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពង់ចាម,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,4.2
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពង់ចាម,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.2
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពង់ចាម,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.1
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពង់ចាម,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.4
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពង់ឆ្នាំង,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,5.2
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពង់ឆ្នាំង,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,4.3
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពង់ឆ្នាំង,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.6
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពង់ឆ្នាំង,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.6
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពង់ស្ពឺ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,4.6
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពង់ស្ពឺ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.7
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពង់ស្ពឺ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.4
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពង់ស្ពឺ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.1
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពង់ធំ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,4.3
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពង់ធំ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.7
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពង់ធំ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.3
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពង់ធំ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.2
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពត,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.1
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កណ្តាល,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.8
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កណ្តាល,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.1
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កណ្តាល,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,2.8
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កណ្តាល,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,2.9
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កែប,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.3
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កោះកុង,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,4.3
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កោះកុង,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.6
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ខេត្តក្រចេះ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,4.2
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ខេត្តក្រចេះ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.7
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ខេត្តក្រចេះ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.9
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),មណ្ឌលគីរី,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,4.5
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ឧត្តរមានជ័យ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,4.2
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ឧត្តរមានជ័យ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.3
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ឧត្តរមានជ័យ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.2
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ប៉ៃលិន,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.6
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ភ្នំពេញ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,2.1
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ភ្នំពេញ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,2.5
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ភ្នំពេញ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,2.0
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ភ្នំពេញ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,2.0
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ព្រះសីហនុ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.1
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ព្រះវិហារ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,4.0
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ព្រៃវែង,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.5
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ព្រៃវែង,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.0
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ព្រៃវែង,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,2.9
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ព្រៃវែង,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.3
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ពោធិសាត់,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,4.9
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ពោធិសាត់,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.9
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ពោធិសាត់,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.6
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ពោធិសាត់,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.4
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),រតនគិរី,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,4.9
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),សៀមរាប,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,4.2
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),សៀមរាប,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.2
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),សៀមរាប,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.4
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ស្ទឹងត្រែង,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,4.2
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ស្វាយរៀង,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.5
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ស្វាយរៀង,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.0
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ស្វាយរៀង,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,2.8
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ស្វាយរៀង,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,2.6
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),តាកែវ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,4.1
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),តាកែវ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.2
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),តាកែវ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.0
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),តាកែវ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.1
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ខេត្តបាត់ដំបងនិងប៉ៃលិន,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,4.5
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ខេត្តបាត់ដំបងនិងប៉ៃលិន,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.5
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ខេត្តបាត់ដំបងនិងប៉ៃលិន,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.2
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពតព្រះសីហនុនិងកែប,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,4.1
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ខេត្តក្រចេះព្រះវិហារនិងស្ទឹងត្រែង,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,4.6
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),មណ្ឌលគីរីនិងរតនគិរី,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,6.3
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),មណ្ឌលគីរីនិងរតនគិរី,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,5.2
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),មណ្ឌលគីរីនិងរតនគិរី,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,4.5
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ឧត្តរមានជ័យនិងសៀមរាប,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,4.6
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពតនិងកែប,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.2
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពតនិងកែប,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,2.8
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កោះកុងនិងព្រះសីហនុ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.9
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កោះកុងនិងព្រះសីហនុ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,2.9
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ព្រះវិហារនិងស្ទឹងត្រែង,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,4.9
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ព្រះវិហារនិងស្ទឹងត្រែង,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,3.5
