Year,SERIES,តំបន់យោង,កំរិតនគរូបនីយកម្ម,UNIT_MEASURE,Value
2005,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,បន្ទាយមានជ័យ,,ភាគរយ,33.1
2010,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,បន្ទាយមានជ័យ,,ភាគរយ,69.0
2014,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,បន្ទាយមានជ័យ,,ភាគរយ,95.8
2000,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពង់ចាម,,ភាគរយ,22.5
2005,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពង់ចាម,,ភាគរយ,45.9
2010,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពង់ចាម,,ភាគរយ,67.9
2014,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពង់ចាម,,ភាគរយ,91.5
2000,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពង់ឆ្នាំង,,ភាគរយ,16.6
2005,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពង់ឆ្នាំង,,ភាគរយ,37.2
2010,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពង់ឆ្នាំង,,ភាគរយ,59.8
2014,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពង់ឆ្នាំង,,ភាគរយ,97.6
2000,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពង់ស្ពឺ,,ភាគរយ,15.1
2005,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពង់ស្ពឺ,,ភាគរយ,22.7
2010,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពង់ស្ពឺ,,ភាគរយ,68.2
2014,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពង់ស្ពឺ,,ភាគរយ,89.3
2000,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពង់ធំ,,ភាគរយ,15.4
2005,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពង់ធំ,,ភាគរយ,24.5
2010,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពង់ធំ,,ភាគរយ,47.7
2014,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពង់ធំ,,ភាគរយ,80.4
2000,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កណ្តាល,,ភាគរយ,53.0
2005,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កណ្តាល,,ភាគរយ,73.5
2010,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កណ្តាល,,ភាគរយ,87.0
2014,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កណ្តាល,,ភាគរយ,95.7
2000,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កោះកុង,,ភាគរយ,30.6
2005,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ខេត្តក្រចេះ,,ភាគរយ,28.6
2010,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ខេត្តក្រចេះ,,ភាគរយ,44.4
2014,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ខេត្តក្រចេះ,,ភាគរយ,51.9
2005,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ឧត្តរមានជ័យ,,ភាគរយ,15.2
2010,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ឧត្តរមានជ័យ,,ភាគរយ,64.4
2014,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ឧត្តរមានជ័យ,,ភាគរយ,88.7
2000,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ភ្នំពេញ,,ភាគរយ,88.9
2005,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ភ្នំពេញ,,ភាគរយ,86.0
2010,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ភ្នំពេញ,,ភាគរយ,98.8
2014,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ភ្នំពេញ,,ភាគរយ,96.1
2000,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ព្រៃវែង,,ភាគរយ,25.3
2005,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ព្រៃវែង,,ភាគរយ,28.0
2010,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ព្រៃវែង,,ភាគរយ,59.2
2014,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ព្រៃវែង,,ភាគរយ,97.6
2000,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ពោធិសាត់,,ភាគរយ,19.0
2005,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ពោធិសាត់,,ភាគរយ,31.7
2010,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ពោធិសាត់,,ភាគរយ,73.9
2014,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ពោធិសាត់,,ភាគរយ,86.1
2005,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,សៀមរាប,,ភាគរយ,28.6
2010,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,សៀមរាប,,ភាគរយ,72.7
2014,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,សៀមរាប,,ភាគរយ,93.0
2000,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ស្វាយរៀង,,ភាគរយ,22.4
2005,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ស្វាយរៀង,,ភាគរយ,28.9
2010,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ស្វាយរៀង,,ភាគរយ,89.6
2014,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ស្វាយរៀង,,ភាគរយ,94.3
2000,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,តាកែវ,,ភាគរយ,39.5
2005,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,តាកែវ,,ភាគរយ,62.1
2010,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,តាកែវ,,ភាគរយ,85.4
2014,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,តាកែវ,,ភាគរយ,97.4
2000,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ខេត្តបាត់ដំបងនិងប៉ៃលិន,,ភាគរយ,44.7
2005,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ខេត្តបាត់ដំបងនិងប៉ៃលិន,,ភាគរយ,59.3
2010,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ខេត្តបាត់ដំបងនិងប៉ៃលិន,,ភាគរយ,78.1
2014,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ខេត្តបាត់ដំបងនិងប៉ៃលិន,,ភាគរយ,94.1
2000,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពតព្រះសីហនុនិងកែប,,ភាគរយ,30.8
2000,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ខេត្តក្រចេះព្រះវិហារនិងស្ទឹងត្រែង,,ភាគរយ,40.5
2000,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,មណ្ឌលគីរីនិងរតនគិរី,,ភាគរយ,14.2
2005,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,មណ្ឌលគីរីនិងរតនគិរី,,ភាគរយ,13.7
2010,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,មណ្ឌលគីរីនិងរតនគិរី,,ភាគរយ,38.4
2014,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,មណ្ឌលគីរីនិងរតនគិរី,,ភាគរយ,53.6
2000,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ឧត្តរមានជ័យនិងសៀមរាប,,ភាគរយ,12.0
2005,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពតនិងកែប,,ភាគរយ,41.0
2010,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពតនិងកែប,,ភាគរយ,66.5
2014,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពតនិងកែប,,ភាគរយ,90.5
2005,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កោះកុងនិងព្រះសីហនុ,,ភាគរយ,57.1
2010,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កោះកុងនិងព្រះសីហនុ,,ភាគរយ,79.2
2014,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កោះកុងនិងព្រះសីហនុ,,ភាគរយ,97.5
2005,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ព្រះវិហារនិងស្ទឹងត្រែង,,ភាគរយ,12.9
2010,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ព្រះវិហារនិងស្ទឹងត្រែង,,ភាគរយ,28.2
2014,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ព្រះវិហារនិងស្ទឹងត្រែង,,ភាគរយ,54.6
