Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,Value
2000,SH_DYN_MORT,KH14,,Y0T4,,,PER_100_LIVE_BIRTHS,151.3
2005,SH_DYN_MORT,KH14,,Y0T4,,,PER_100_LIVE_BIRTHS,143.0
2010,SH_DYN_MORT,KH14,,Y0T4,,,PER_100_LIVE_BIRTHS,74.0
2014,SH_DYN_MORT,KH14,,Y0T4,,,PER_100_LIVE_BIRTHS,75.0
2000,SH_DYN_MORT,KH15,,Y0T4,,,PER_100_LIVE_BIRTHS,172.7
2005,SH_DYN_MORT,KH15,,Y0T4,,,PER_100_LIVE_BIRTHS,106.0
2010,SH_DYN_MORT,KH15,,Y0T4,,,PER_100_LIVE_BIRTHS,57.0
2014,SH_DYN_MORT,KH15,,Y0T4,,,PER_100_LIVE_BIRTHS,36.0
2005,SH_DYN_MORT,KH17,,Y0T4,,,PER_100_LIVE_BIRTHS,94.0
2010,SH_DYN_MORT,KH17,,Y0T4,,,PER_100_LIVE_BIRTHS,60.0
2014,SH_DYN_MORT,KH17,,Y0T4,,,PER_100_LIVE_BIRTHS,56.0
2000,SH_DYN_MORT,KH20,,Y0T4,,,PER_100_LIVE_BIRTHS,129.6
2005,SH_DYN_MORT,KH20,,Y0T4,,,PER_100_LIVE_BIRTHS,110.0
2010,SH_DYN_MORT,KH20,,Y0T4,,,PER_100_LIVE_BIRTHS,93.0
2014,SH_DYN_MORT,KH20,,Y0T4,,,PER_100_LIVE_BIRTHS,63.0
2000,SH_DYN_MORT,KH21,,Y0T4,,,PER_100_LIVE_BIRTHS,118.5
2005,SH_DYN_MORT,KH21,,Y0T4,,,PER_100_LIVE_BIRTHS,102.0
2010,SH_DYN_MORT,KH21,,Y0T4,,,PER_100_LIVE_BIRTHS,84.0
2014,SH_DYN_MORT,KH21,,Y0T4,,,PER_100_LIVE_BIRTHS,31.0
2000,SH_DYN_MORT,KH_AGG_KH02_KH24,,Y0T4,,,PER_100_LIVE_BIRTHS,126.6
2005,SH_DYN_MORT,KH_AGG_KH02_KH24,,Y0T4,,,PER_100_LIVE_BIRTHS,116.0
2010,SH_DYN_MORT,KH_AGG_KH02_KH24,,Y0T4,,,PER_100_LIVE_BIRTHS,54.0
2014,SH_DYN_MORT,KH_AGG_KH02_KH24,,Y0T4,,,PER_100_LIVE_BIRTHS,37.0
2000,SH_DYN_MORT,KH_AGG_KH07_KH18_KH23,,Y0T4,,,PER_100_LIVE_BIRTHS,124.4
2000,SH_DYN_MORT,KH_AGG_KH10_KH13_KH19,,Y0T4,,,PER_100_LIVE_BIRTHS,119.5
2000,SH_DYN_MORT,KH_AGG_KH11_KH16,,Y0T4,,,PER_100_LIVE_BIRTHS,229.3
2005,SH_DYN_MORT,KH_AGG_KH11_KH16,,Y0T4,,,PER_100_LIVE_BIRTHS,165.0
2010,SH_DYN_MORT,KH_AGG_KH11_KH16,,Y0T4,,,PER_100_LIVE_BIRTHS,106.0
2014,SH_DYN_MORT,KH_AGG_KH11_KH16,,Y0T4,,,PER_100_LIVE_BIRTHS,80.0
2000,SH_DYN_MORT,KH_AGG_KH22_KH17,,Y0T4,,,PER_100_LIVE_BIRTHS,124.6
2005,SH_DYN_MORT,KH_AGG_KH07_KH23,,Y0T4,,,PER_100_LIVE_BIRTHS,83.0
2010,SH_DYN_MORT,KH_AGG_KH07_KH23,,Y0T4,,,PER_100_LIVE_BIRTHS,73.0
2014,SH_DYN_MORT,KH_AGG_KH07_KH23,,Y0T4,,,PER_100_LIVE_BIRTHS,44.0
2005,SH_DYN_MORT,KH_KH09_KH18,,Y0T4,,,PER_100_LIVE_BIRTHS,104.0
2010,SH_DYN_MORT,KH_KH09_KH18,,Y0T4,,,PER_100_LIVE_BIRTHS,63.0
2014,SH_DYN_MORT,KH_KH09_KH18,,Y0T4,,,PER_100_LIVE_BIRTHS,42.0
2005,SH_DYN_MORT,KH_AGG_KH13_KH19,,Y0T4,,,PER_100_LIVE_BIRTHS,146.0
2010,SH_DYN_MORT,KH_AGG_KH13_KH19,,Y0T4,,,PER_100_LIVE_BIRTHS,118.0
2014,SH_DYN_MORT,KH_AGG_KH13_KH19,,Y0T4,,,PER_100_LIVE_BIRTHS,79.0
